onsen_sapporo_id,onsen_name,onsen_name_romanji,onsen_groupname,onsen_groupname_romanji,onsen_start,onsen_end,onsen_address_from_ward,onsen_address,onsen_address_all,onsen_latitude,onsen_longitude,onsen_area_prefectures,onsen_area_prefectures_romanji,onsen_area_municipality,onsen_area_municipality_romanji,onsen_area_municipality_type,onsen_area_ward,onsen_area_ward_romanji,onsen_fee_yen,onsen_tel,onsen_url,onsen_shampoo,onsen_shampoo_eng,onsen_rentalamenity,onsen_rentalamenity_eng,onsen_keyword,onsen_keyword_eng,onsen_extra,onsen_extra_eng,
Onsen_s11,モエレ天然温泉 たまゆらの社,Moere Tennen Onsen Tamayuranomori,北のたまゆら,kitanotamayura,6:00,1:00:00,東区中沼西1条1丁目11-10,札幌市東区中沼西1条1丁目11-10,北海道札幌市東区中沼西1条1丁目11-10,43.125894,141.416136,北海道,Hokkaido,札幌市,sapporoshi,city,東区,higasi-ku,960,011-791-6666,www.moere.co.jp/,完備,included,すべて込,included,系列店,group,なし,"No Tattoos Allowed.",
Onsen_s12,こうしんの湯,Kousinnoyu,こうしんの湯,kousinnoyu,12:00,23:00,東区北30条東19丁目1-1,札幌市東区北30条東19丁目1-1,北海道札幌市東区北30条東19丁目1-1,43.10074,141.377569,北海道,Hokkaido,札幌市,sapporoshi,city,東区,higasi-ku,440,011-780-2615,www.e-furo.info/,販売品あり（+100円程度）,setabout100yen,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s13,北のたまゆら 東苗穂店,Kitanotamayura Higasinaebo ten,北のたまゆら,kitanotamayura,9:00,0:30,東区東苗穂11条2丁目896-1,札幌市東区東苗穂11条2丁目896-1,北海道札幌市東区東苗穂11条2丁目896-1,43.102963,141.419154,北海道,Hokkaido,札幌市,sapporoshi,city,東区,higasi-ku,440,011-790-2683,www.e-u.jp/higasi_main.html,完備,included,販売品あり（+300円程度）,setabout300yen,系列店,group,なし,"No Tattoos Allowed.",
Onsen_s14,東苗穂温泉 千の湯,Higasinaebo Onsen Sennoyu,千の湯,sennoyu,9:00,2:00:00,東区東苗穂3条2丁目キャッツアイビッグ東苗穂店1F,札幌市東区東苗穂3条2丁目キャッツアイビッグ東苗穂店1F,北海道札幌市東区東苗穂3条2丁目キャッツアイビッグ東苗穂店1F,43.086753,141.40372,北海道,Hokkaido,札幌市,sapporoshi,city,東区,higasi-ku,600,011-785-4126,www.hku.co.jp/~sennoyu/index.html,完備,included,販売品あり（+300円程度）,setabout300yen,独立店,independent,2016年3月末日をもって閉店,“Closed at end of Mar 2016 & No Tattoos Allowed.”,
Onsen_s15,湯処花ゆづき,Yudokoro Hanayuduki,花ゆづき,hanayuduki,10:00,0:30,西区二十四軒3条1-19,札幌市西区二十四軒3条1-19,北海道札幌市西区二十四軒3条1-19,43.077068,141.315595,北海道,Hokkaido,札幌市,sapporoshi,city,西区,nisi-ku,670,011-633-4126,www.hanayuzuki.jp/,完備,included,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s16,湯屋サーモン,Yuya Sarmon,サーモン,saamon,12:30,23:00,西区発寒7条14丁目16-15,札幌市西区発寒7条14丁目16-15,北海道札幌市西区発寒7条14丁目16-15,43.099895,141.267999,北海道,Hokkaido,札幌市,sapporoshi,city,西区,nisi-ku,440,011-669-1004,www.technical-atr.com/salmon/,販売品あり（+100円程度）,setabout100yen,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s17,定山渓温泉 鹿の湯,Jyouzankei Onsen Shikanoyu,鹿の湯,sikanoyu,13:00,19:00,南区定山渓温泉西3-32,札幌市南区定山渓温泉西3-32,北海道札幌市南区定山渓温泉西3-32,42.965101,141.162531,北海道,Hokkaido,札幌市,sapporoshi,city,南区,minami-ku,820,011-598-2002,www.shikanoyu.co.jp/daytrip/index.html,完備,included,販売品あり（+300円程度）,setabout300yen,系列店,group,なし,"No Tattoos Allowed.",
Onsen_s18,定山渓温泉 花もみじ,Jyouzankei Onsen Hanamomiji,鹿の湯,sikanoyu,12:30,14:00,南区定山渓温泉西3-32,札幌市南区定山渓温泉西3-32,北海道札幌市南区定山渓温泉西3-32,42.965101,141.162531,北海道,Hokkaido,札幌市,sapporoshi,city,南区,minami-ku,1030,011-598-2002,www.shikanoyu.co.jp/daytrip/index.html,完備,included,販売品あり（+300円程度）,setabout300yen,系列店,group,なし,"No Tattoos Allowed.",
Onsen_s19,豊平峡温泉,Houheikyou Onsen,豊平峡温泉,houheikyou_onsen,10:00,0:00:00,南区定山渓608-2,札幌市南区定山渓608-2,北海道札幌市南区定山渓608-2,42.948689,141.155709,北海道,Hokkaido,札幌市,sapporoshi,city,南区,minami-ku,1000,011-598-2410,www.hoheikyo.co.jp,完備,included,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s20,湯元小金湯,yumoto_koganeyu,小金湯,koganeyu,10:00,22:00,南区小金湯25番地,札幌市南区小金湯25番地,北海道札幌市南区小金湯25番地,42.967968,141.219312,北海道,Hokkaido,札幌市,sapporoshi,city,南区,minami-ku,750,011-596-2111,www.koganeyu.jp/one-day-spa/,完備,included,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s21,定山渓温泉 湯の花 定山渓殿,Jyouzankei Onsen Yunohana Jyouzankei den,湯の花,yunohana,10:00,20:30,南区定山渓温泉東4丁目330番4,札幌市南区定山渓温泉東4丁目330番4,北海道札幌市南区定山渓温泉東4丁目330番4,42.962756,141.158421,北海道,Hokkaido,札幌市,sapporoshi,city,南区,minami-ku,850,011-598-4444,www.yunohana.org/jyouzankei/,完備,included,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s22,あしべ屯田,Asibe Tonden ten,あしべ,asibe,10:00,23:30,北区屯田7条7丁目2-6,札幌市北区屯田7条7丁目2-6,北海道札幌市北区屯田7条7丁目2-6,43.137124,141.329866,北海道,Hokkaido,札幌市,sapporoshi,city,北区,kita-ku,520,011-771-9111,www2.ocn.ne.jp/~acb-spa/index.html,完備,included,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s23,シャトレーゼガトーキングダム フェアリー・フォンテーヌ,Syatoreze Gato kingdom Fairy Fontaine,シャトレーゼガトーキングダム,syatoreze_gatokingdom,10:00,0:00:00,北区東茨戸132番地,札幌市北区東茨戸132番地,北海道札幌市北区東茨戸132番地,43.171017,141.35577,北海道,Hokkaido,札幌市,sapporoshi,city,北区,kita-ku,980,011-773-3311,www.gateauxkingdom.com,完備,included,販売品あり（+300円程度）,setabout300yen,ホテル型,hotel,なし,"No Tattoos Allowed.",
Onsen_s24,新琴似温泉 壱ノ湯,Sinkotoni Onsen Ichinoyu,壱ノ湯,ichinoyu,11:00,23:30,北区新琴似2条8丁目8-11-1,札幌市北区新琴似2条8丁目8-11-1,北海道札幌市北区新琴似2条8丁目8-11-1,43.108685,141.316068,北海道,Hokkaido,札幌市,sapporoshi,city,北区,kita-ku,440,011-762-1126,www.onsen-ichinoyu.com/,販売品あり（+100円程度）,setabout100yen,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s25,札幌あいの里温泉 なごみ,Sapporo Ainosato Onsen Nagomi,なごみ,nagomi,10:00,23:00,北区南あいの里5丁目1-20,札幌市北区南あいの里5丁目1-20,北海道札幌市北区南あいの里5丁目1-20,43.152672,141.398312,北海道,Hokkaido,札幌市,sapporoshi,city,北区,kita-ku,440,011-778-7531,www.nagomi-onsen.jp/ainosato/,販売品あり（+100円程度）,setabout100yen,販売品あり（+300円程度）,setabout300yen,系列店,group,なし,"No Tattoos Allowed.",
Onsen_s26,湯めらんど,Yume land,湯めらんど,yumerando,14:00,22:00,白石区菊水元町5条3-18,札幌市白石区菊水元町5条3-18,北海道札幌市白石区菊水元町5条3-18,43.0678,141.407452,北海道,Hokkaido,札幌市,sapporoshi,city,白石区,siroisi-ku,440,011-875-0125,www.yume-land.info/sp/,販売品あり（+100円程度）,setabout100yen,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s27,南郷の湯,Nangounoyu,南郷の湯,nangounoyu,14:00,23:30,白石区南郷通14丁目北3-5,札幌市白石区南郷通14丁目北3-5,北海道札幌市白石区南郷通14丁目北3-5,43.036811,141.423926,北海道,Hokkaido,札幌市,sapporoshi,city,白石区,siroisi-ku,440,011-846-4126,www.chuo-bus.co.jp/nango/index.cgi,販売品あり（+100円程度）,setabout100yen,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s28,サッポロスーパー銭湯 太陽,Sapporo Super Sento Taiyou,太陽,taiyou,13:00,22:20,豊平区西岡4条3丁目7－50,札幌市豊平区西岡4条3丁目7－50,北海道札幌市豊平区西岡4条3丁目7－50,43.017223,141.389203,北海道,Hokkaido,札幌市,sapporoshi,city,豊平区,toyohira-ku,600,011-857-2626,www.takeda-housing.jp/super-sento/price.html,完備,included,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s29,湯けむりの丘 つきさむ温泉,Yukemurinooka Tsukisamu Onsen,つきさむ温泉,tsukisamu_onsen,10:00,0:00:00,豊平区月寒東1条20丁目189-5,札幌市豊平区月寒東1条20丁目189-5,北海道札幌市豊平区月寒東1条20丁目189-5,43.010937,141.42245,北海道,Hokkaido,札幌市,sapporoshi,city,豊平区,toyohira-ku,1300,011-855-4126,www.tsukisamu.jp/index.html,完備,included,すべて込,included,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s30,極楽湯 さっぽろ手稲店,Gokurakuyu Sapporo Teine ten,極楽湯,gokurakuyu,10:00,23:30,手稲区前田2条13丁目361－3,札幌市手稲区前田2条13丁目361－3,北海道札幌市手稲区前田2条13丁目361－3,43.125948,141.242805,北海道,Hokkaido,札幌市,sapporoshi,city,手稲区,teine-ku,440,011-695-4126,www.gokurakuyu.ne.jp/gokurakuyu/tempo/sapporoteine/,販売品あり（+100円程度）,setabout100yen,販売品あり（+300円程度）,setabout300yen,系列店,group,定休日あり。要確認,"It has Regular holiday, please check it & No Tattoos Allowed."
Onsen_s31,ていね温泉 ほのか,Teine Onsen Honoka,ほのか,honoka,0:00:00,0:00:00,手稲区富丘2条3丁目2-1,札幌市手稲区富丘2条3丁目2-1,北海道札幌市手稲区富丘2条3丁目2-1,43.104635,141.251582,北海道,Hokkaido,札幌市,sapporoshi,city,手稲区,teine-ku,800,011-683-4126,www.yudokoro-honoka.jp/teine/,完備,included,販売品あり（+300円程度）,setabout300yen,系列店,group,なし,"No Tattoos Allowed.",
Onsen_s32,北のたまゆら 厚別店,Kitano Tamayura Atsubetsu ten,北のたまゆら,kitanotamayura,9:00,0:30,厚別区大谷地東7丁目990-310,札幌市厚別区大谷地東7丁目990-310,北海道札幌市厚別区大谷地東7丁目990-310,43.027409,141.462724,北海道,Hokkaido,札幌市,sapporoshi,city,厚別区,atsubetsu-ku,440,011-891-2683,www.e-u.jp/atubetu_main.html,完備,included,販売品あり（+300円程度）,setabout300yen,系列店,group,なし,"No Tattoos Allowed.",
Onsen_s33,森林公園温泉 きよら,Sinrinkouen Onsen Kiyora,きよら,kiyora,11:00,23:30,厚別区厚別東4条7丁目1-1,札幌市厚別区厚別東4条7丁目1-1,北海道札幌市厚別区厚別東4条7丁目1-1,43.052001,141.48516,北海道,Hokkaido,札幌市,sapporoshi,city,厚別区,atsubetsu-ku,440,011-897-4126,www.onsen-kiyora.com/,販売品あり（+100円程度）,setabout100yen,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s34,里塚温泉 ゆとり,Satoduka Onsen Yutori,里塚温泉,satoduka_onsen,9:00,23:00,清田区美しが丘5条9丁目9-1,札幌市清田区美しが丘5条9丁目9-1,北海道札幌市清田区美しが丘5条9丁目9-1,42.972208,141.461573,北海道,Hokkaido,札幌市,sapporoshi,city,清田区,kiyota-ku,600,011-882-1717,www.satozuka.jp/,完備,included,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s35,極楽湯 札幌美しが丘店,Gokurakuyu Sapporo Utsukusigaoka ten,極楽湯,gokurakuyu,10:00,0:30,清田区美しが丘1条7丁目6-10,札幌市清田区美しが丘5条9丁目9?1ベガロポリス美しが丘内,北海道札幌市清田区美しが丘5条9丁目9?1ベガロポリス美しが丘内,42.981487,141.463105,北海道,Hokkaido,札幌市,sapporoshi,city,清田区,kiyota-ku,720,011-887-4126,www.gokurakuyu.jp/sapporo.html,完備,included,販売品あり（+300円程度）,setabout300yen,系列店,group,なし,"No Tattoos Allowed.",
Onsen_s36,湯の郷 絢ほのか,Yunosato Ayahonoka,ほのか,honoka,0:00:00,0:00:00,清田区清田2条3丁目2-26,札幌市清田区清田2条3丁目2-26,北海道札幌市清田区清田2条3丁目2-26,43.001791,141.436638,北海道,Hokkaido,札幌市,sapporoshi,city,清田区,kiyota-ku,850,011-881-2686,www.yudokoro-honoka.jp/kiyota/,完備,included,すべて込,included,系列店,group,なし,"No Tattoos Allowed.",
